,entity_label,entity_text
0,DATE,2021
0,DATE,Wednesday
0,DATE,earlier this year
0,DATE,Christmas
0,DATE,this week
0,DATE,January
0,DATE,"Tuesday, Dec. 21, 2021"
0,DATE,several months
0,DATE,Thursday
0,DATE,"Dec. 23, 2021"
0,DATE,October
0,DATE,two months ago
0,DATE,this week
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,earlier this year
0,DATE,Christmas
0,DATE,this week
0,DATE,January
0,DATE,"Tuesday, Dec. 21, 2021"
0,DATE,several months
0,DATE,Thursday
0,DATE,"Dec. 23, 2021"
0,DATE,October
0,DATE,two months ago
0,DATE,this week
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,"Jan. 15, 2022"
0,DATE,one week later on Jan. 22
0,DATE,"Feb. 24, 2021"
0,DATE,Wednesday
0,DATE,"April 4, 2018"
0,DATE,last month
0,DATE,last month
0,DATE,"Oct. 25, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,recent weeks
0,DATE,the final day
0,DATE,"Thursday, Oct. 15, 2020"
0,DATE,the last week
0,DATE,"Dec. 21, 2021"
0,DATE,this week
0,DATE,Wednesday
0,DATE,Two days earlier
0,DATE,the weekend
0,DATE,last week
0,DATE,Monday
0,DATE,only one week
0,DATE,DC - DECEMBER 21
0,DATE,"December 21, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,just one week
0,DATE,12-year-olds
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,just one week
0,DATE,12-year-olds
0,DATE,2021
0,DATE,2021
0,DATE,this week
0,DATE,Tuesday
0,DATE,Wednesday
0,DATE,January
0,DATE,Wednesday
0,DATE,the weeks
0,DATE,"Tuesday, Dec. 21, 2021"
0,DATE,January
0,DATE,the holiday season
0,DATE,"Thursday, Dec. 23, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,this week
0,DATE,Tuesday
0,DATE,Wednesday
0,DATE,January
0,DATE,Wednesday
0,DATE,the weeks
0,DATE,"Tuesday, Dec. 21, 2021"
0,DATE,January
0,DATE,the holiday season
0,DATE,"Thursday, Dec. 23, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,the end of August
0,DATE,later in the year
0,DATE,Aug. 20
0,DATE,"Dec. 21, 2021"
0,DATE,last week
0,DATE,Aug. 31
0,DATE,recent days
0,DATE,last week
0,DATE,"Dec. 17, 2021"
0,DATE,the weekend
0,DATE,Tuesday
0,DATE,the last month
0,DATE,Tuesday
0,DATE,three-day
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,weeks
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,weeks
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,"June 7, 2021"
0,DATE,Wednesday
0,DATE,the day Tuesday
0,DATE,"Yesterday, Monday"
0,DATE,every day
0,DATE,last week
0,DATE,"Dec. 21, 2021"
0,DATE,Monday
0,DATE,Monday
0,DATE,Three days earlier
0,DATE,Friday
0,DATE,"Friday, Dec. 17, 2021"
0,DATE,Sunday
0,DATE,Monday
0,DATE,Tuesday
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,"June 7, 2021"
0,DATE,Wednesday
0,DATE,the day Tuesday
0,DATE,"Yesterday, Monday"
0,DATE,every day
0,DATE,last week
0,DATE,"Dec. 21, 2021"
0,DATE,Monday
0,DATE,Monday
0,DATE,Three days earlier
0,DATE,Friday
0,DATE,"Friday, Dec. 17, 2021"
0,DATE,Sunday
0,DATE,Monday
0,DATE,Tuesday
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,Tuesday
0,DATE,this week
0,DATE,Tuesday
0,DATE,"Wednesday, Dec. 22, 2021"
0,DATE,Tuesday
0,DATE,Wednesday
0,DATE,2020
0,DATE,December 2020
0,DATE,October 2020
0,DATE,2021
0,DATE,2021
0,DATE,Christmas
0,DATE,just days
0,DATE,winter
0,DATE,October 2021
0,DATE,nearly two years
0,DATE,one year
0,DATE,the holidays
0,DATE,Christmas
0,DATE,Christmas
0,DATE,Christmas
0,DATE,the holiday season
0,DATE,this week
0,DATE,Christmas
0,DATE,last month
0,DATE,Christmas
0,DATE,Christmas
0,DATE,the second straight year
0,DATE,earlier this month
0,DATE,between 18 and 45
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,almost a year
0,DATE,March 2020
0,DATE,nearly two years ago
0,DATE,Tuesday
0,DATE,weekly
0,DATE,March of 2020
0,DATE,the holiday season
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,three-day
0,DATE,"Dec. 21, 2021"
0,DATE,the same day
0,DATE,the last month
0,DATE,"Wednesday, Dec. 8, 2021"
0,DATE,days
0,DATE,Friday
0,DATE,"Friday, Dec. 17, 2021"
0,DATE,Saturday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the past several months
0,DATE,"Dec. 21, 2021"
0,DATE,the past year
0,DATE,their holiday season
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,daily
0,DATE,"Dec. 21, 2021"
0,DATE,January
0,DATE,pre-Christmas
0,DATE,two weeks
0,DATE,"Dec. 16, 2021"
0,DATE,Tuesday
0,DATE,January 2021
0,DATE,a month
0,DATE,Tuesday
0,DATE,this week
0,DATE,"Nov. 5, 2021"
0,DATE,the week ending Dec. 18
0,DATE,the week before
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the month
0,DATE,Tuesday
0,DATE,November
0,DATE,the past couple of months
0,DATE,the end of this week
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,November
0,DATE,winter
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,"Dec. 17, 2021"
0,DATE,Tuesday
0,DATE,"Monday, Dec. 20, 2021"
0,DATE,this winter
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,"Dec. 17, 2021"
0,DATE,Tuesday
0,DATE,"Monday, Dec. 20, 2021"
0,DATE,this winter
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the week
0,DATE,the prior week
0,DATE,season
0,DATE,Tuesday
0,DATE,winter
0,DATE,"December 22, 2020"
0,DATE,January
0,DATE,February
0,DATE,earlier this month
0,DATE,January
0,DATE,each week
0,DATE,"November 23, 2021"
0,DATE,winter
0,DATE,the coming days
0,DATE,under 5
0,DATE,two years
0,DATE,Monday
0,DATE,three days ago
0,DATE,Sunday
0,DATE,Monday
0,DATE,Wednesday
0,DATE,Sunday
0,DATE,Monday
0,DATE,50s
0,DATE,less than a month ago
0,DATE,Nov. 26
0,DATE,Monday
0,DATE,2021
0,DATE,2021
0,DATE,September
0,DATE,almost five months
0,DATE,today
0,DATE,today
0,DATE,tomorrow
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,2008
0,DATE,Phoenix Sunday
0,DATE,2016
0,DATE,"July 1, 2016"
0,DATE,March
0,DATE,"Friday, Nov. 5, 2021"
0,DATE,March
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Monday
0,DATE,Three days earlier
0,DATE,Friday
0,DATE,"Wednesday, Jan. 20, 2021"
0,DATE,Sunday
0,DATE,Wednesday
0,DATE,"January 25, 2018"
0,DATE,Sunday
0,DATE,Monday
0,DATE,today
0,DATE,just a few months ago
0,DATE,daily
0,DATE,"December 14, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Friday
0,DATE,"Monday, Nov. 29, 2021"
0,DATE,Tuesday
0,DATE,September
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,daily
0,DATE,Tuesday
0,DATE,"Dec. 17, 2021"
0,DATE,tomorrow
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,daily
0,DATE,daily
0,DATE,"Dec. 14, 2021"
0,DATE,today
0,DATE,just a few months ago
0,DATE,Monday
0,DATE,"Dec. 20, 2021"
0,DATE,Sunday
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,Sunday
0,DATE,November
0,DATE,Monday
0,DATE,Earlier this year
0,DATE,Dec. 2
0,DATE,the coming weeks
0,DATE,2021
0,DATE,2021
0,DATE,Saturday
0,DATE,Saturday
0,DATE,Wednesday
0,DATE,Sunday
0,DATE,Sunday
0,DATE,weekly
0,DATE,"December 14, 2021"
0,DATE,earlier this week
0,DATE,Sunday
0,DATE,Friday
0,DATE,seven-day
0,DATE,the previous week
0,DATE,daily
0,DATE,"Tuesday, May 11, 2021"
0,DATE,Friday
0,DATE,2021
0,DATE,2021
0,DATE,today
0,DATE,earlier this week
0,DATE,last week
0,DATE,"this March 3, 2021"
0,DATE,"Monday, Jan. 20, 2020"
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,Sunday
0,DATE,two days
0,DATE,Saturday
0,DATE,the past two weeks
0,DATE,this month
0,DATE,Sunday
0,DATE,the next three to five weeks
0,DATE,"Monday, Dec. 20"
0,DATE,mid-January
0,DATE,nearly a year
0,DATE,2021
0,DATE,2021
0,DATE,the summer
0,DATE,Friday
0,DATE,"Tuesday, Nov. 16, 2021"
0,DATE,the days
0,DATE,July 4
0,DATE,Thursday
0,DATE,"Dec. 9, 2021"
0,DATE,Friday
0,DATE,2021
0,DATE,2021
0,DATE,a little over a month
0,DATE,September 20-October 31
0,DATE,"Wednesday, Dec. 8, 2021"
0,DATE,2 TO 5 YEAR
0,DATE,Friday
0,DATE,seven-day
0,DATE,DC - NOVEMBER 04
0,DATE,last spring
0,DATE,earlier this year
0,DATE,December of last year
0,DATE,March
0,DATE,"September 2, 2021"
0,DATE,2020
0,DATE,October
0,DATE,all day
0,DATE,10-year-old
0,DATE,earlier this year
0,DATE,2021
0,DATE,2021
0,DATE,this week
0,DATE,last week
0,DATE,the first day
0,DATE,September
0,DATE,"7, Tuesday, Nov. 9, 2021"
0,DATE,5 to 18 years of age
0,DATE,seven-day
0,DATE,November
0,DATE,the holiday season
0,DATE,seven-day
0,DATE,mid-November
0,DATE,at least six months
0,DATE,2021
0,DATE,2021
0,DATE,Thursday
0,DATE,"Dec. 2, 2021"
0,DATE,the years
0,DATE,2021
0,DATE,Friday
0,DATE,"Dec. 17, 2021"
0,DATE,"Dec. 2, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,"Dec. 16, 2021"
0,DATE,9
0,DATE,"Wednesday, Nov. 3, 2021"
0,DATE,last month
0,DATE,Nov. 5
0,DATE,weekly
0,DATE,Jan. 4
0,DATE,six months
0,DATE,Dec. 15
0,DATE,Nov. 5
0,DATE,Dec. 6
0,DATE,Jan. 4
0,DATE,"this July 31, 2020"
0,DATE,Dec. 15
0,DATE,Nov. 29
0,DATE,The next day
0,DATE,Dec. 15
0,DATE,Dec. 15
0,DATE,Sept. 9
0,DATE,Jan. 18
0,DATE,Jan. 4
0,DATE,Dec. 7
0,DATE,a week
0,DATE,2021
0,DATE,2021
0,DATE,earlier this year
0,DATE,"Monday, Dec. 6, 2021"
0,DATE,the next few months
0,DATE,at least late February
0,DATE,early March
0,DATE,"March 16, 2022"
0,DATE,September
0,DATE,"March 4, 2020"
0,DATE,"Oct. 28, 2021"
0,DATE,recent weeks
0,DATE,August
0,DATE,September
0,DATE,the spring
0,DATE,2020
0,DATE,Christmas
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,"Jan. 7, 2021"
0,DATE,his first year
0,DATE,"Dec. 9, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,weeklong
0,DATE,Wednesday
0,DATE,Friday
0,DATE,"Tuesday, Dec. 14, 2021"
0,DATE,Tuesday
0,DATE,2021
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,2007
0,DATE,"April 15, 2008"
0,DATE,a day
0,DATE,"Sept. 13, 2021"
0,DATE,August
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,today
0,DATE,"April 28, 2021"
0,DATE,November
0,DATE,Dec. 15
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,"Thursday, July 22, 2021"
0,DATE,2021
0,DATE,this year
0,DATE,2020
0,DATE,2021 SURPASS 2020'S TOLL
0,DATE,between Jan. 1 and Nov. 30
0,DATE,"Nov. 3, 2021"
0,DATE,June
0,DATE,the past 15 months
0,DATE,"Feb. 4, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,last week
0,DATE,all week
0,DATE,the week
0,DATE,just a few days later
0,DATE,"Wednesday, Aug. 25, 2021"
0,DATE,the last week and a half
0,DATE,all year
0,DATE,this summer
0,DATE,"Nov. 1, 2021"
0,DATE,October
0,DATE,2022
0,DATE,this month
0,DATE,last month
0,DATE,last week
0,DATE,"Monday, Oct. 4, 2021"
0,DATE,last week
0,DATE,next year
0,DATE,2022
0,DATE,2016
0,DATE,night 2022
0,DATE,a tumultuous first year
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,the next several months
0,DATE,July 2021
0,DATE,the six months or so
0,DATE,Dec. 1
0,DATE,yearly
0,DATE,this past July
0,DATE,2021
0,DATE,2021
0,DATE,Sunday
0,DATE,the next several months
0,DATE,July 2021
0,DATE,the six months or so
0,DATE,Dec. 1
0,DATE,yearly
0,DATE,this past July
