entity_label,entity_text
DATE,2021
DATE,October
DATE,the market per month
DATE,this week
DATE,Thursday
DATE,Oct. 22
DATE,three days later
DATE,Monday
DATE,October
DATE,earlier this week
DATE,January 2022
DATE,the holiday season
DATE,two months ago
DATE,Wednesday
DATE,earlier this year
DATE,daily
DATE,"Monday, Dec. 20, 2021"
DATE,earlier this week
DATE,2021
DATE,2021
DATE,recent weeks
DATE,the final day
DATE,"Thursday, Oct. 15, 2020"
DATE,the last week
DATE,"Dec. 21, 2021"
DATE,this week
DATE,Wednesday
DATE,Two days earlier
DATE,the weekend
DATE,last week
DATE,Monday
DATE,only one week
DATE,DC - DECEMBER 21
DATE,"December 21, 2021"
DATE,2021
DATE,2021
DATE,"Jan. 15, 2022"
DATE,one week later on Jan. 22
DATE,"Feb. 24, 2021"
DATE,Wednesday
DATE,"April 4, 2018"
DATE,last month
DATE,last month
DATE,"Oct. 25, 2021"
DATE,2021
DATE,2021
DATE,Wednesday
DATE,earlier this year
DATE,Christmas
DATE,this week
DATE,January
DATE,"Tuesday, Dec. 21, 2021"
DATE,several months
DATE,Thursday
DATE,"Dec. 23, 2021"
DATE,October
DATE,two months ago
DATE,this week
DATE,Wednesday
DATE,2021
DATE,2021
DATE,Monday
DATE,just one week
DATE,12-year-olds
DATE,2021
DATE,2021
DATE,this week
DATE,Tuesday
DATE,Wednesday
DATE,January
DATE,Wednesday
DATE,the weeks
DATE,"Tuesday, Dec. 21, 2021"
DATE,January
DATE,the holiday season
DATE,"Thursday, Dec. 23, 2021"
DATE,2021
DATE,2021
DATE,the end of August
DATE,later in the year
DATE,Aug. 20
DATE,"Dec. 21, 2021"
DATE,last week
DATE,Aug. 31
DATE,recent days
DATE,last week
DATE,"Dec. 17, 2021"
DATE,the weekend
DATE,Tuesday
DATE,the last month
DATE,Tuesday
DATE,three-day
DATE,2021
DATE,2021
DATE,Wednesday
DATE,weeks
DATE,last week
DATE,2021
DATE,2021
DATE,Christmas
DATE,just days
DATE,winter
DATE,October 2021
DATE,nearly two years
DATE,one year
DATE,the holidays
DATE,Christmas
DATE,Christmas
DATE,Christmas
DATE,the holiday season
DATE,this week
DATE,Christmas
DATE,last month
DATE,Christmas
DATE,Christmas
DATE,the second straight year
DATE,earlier this month
DATE,between 18 and 45
DATE,2021
DATE,2021
DATE,Wednesday
DATE,almost a year
DATE,March 2020
DATE,nearly two years ago
DATE,Tuesday
DATE,weekly
DATE,March of 2020
DATE,the holiday season
DATE,Wednesday
DATE,2021
DATE,2021
DATE,Tuesday
DATE,the winter months
DATE,winter
DATE,last week
DATE,2021
DATE,2021
DATE,Tuesday
DATE,Tuesday
DATE,this week
DATE,Tuesday
DATE,Tuesday
DATE,2020
DATE,December 2020
DATE,October 2020
DATE,"Dec. 16, 2020"
DATE,March 2020
DATE,last month
DATE,2021
DATE,2021
DATE,two-year-olds
DATE,Tuesday
DATE,last month
DATE,two years old
DATE,the end of January
DATE,the last two years
DATE,up to five years old
DATE,earlier this month
DATE,2021
DATE,2021
DATE,Tuesday
DATE,the past several months
DATE,"Dec. 21, 2021"
DATE,the past year
DATE,their holiday season
DATE,2021
DATE,2021
DATE,Tuesday
DATE,daily
DATE,"Dec. 21, 2021"
DATE,January
DATE,pre-Christmas
DATE,two weeks
DATE,"Dec. 16, 2021"
DATE,Tuesday
DATE,January 2021
DATE,a month
DATE,Tuesday
DATE,this week
DATE,"Nov. 5, 2021"
DATE,the week ending Dec. 18
DATE,the week before
DATE,2021
DATE,2021
DATE,Tuesday
DATE,the month
DATE,Tuesday
DATE,November
DATE,the past couple of months
DATE,the end of this week
DATE,2021
DATE,2021
DATE,Tuesday
DATE,November
DATE,winter
DATE,2021
DATE,2021
DATE,Tuesday
DATE,"Dec. 17, 2021"
DATE,Tuesday
DATE,"Monday, Dec. 20, 2021"
DATE,this winter
DATE,2021
DATE,2021
DATE,September
DATE,almost five months
DATE,today
DATE,today
DATE,tomorrow
DATE,last week
DATE,2021
DATE,2021
DATE,2008
DATE,Phoenix Sunday
DATE,2016
DATE,"July 1, 2016"
DATE,March
DATE,"Friday, Nov. 5, 2021"
DATE,March
DATE,2021
DATE,2021
DATE,Monday
DATE,Monday
DATE,Three days earlier
DATE,Friday
DATE,"Wednesday, Jan. 20, 2021"
DATE,Sunday
DATE,Wednesday
DATE,"January 25, 2018"
DATE,Sunday
DATE,Monday
DATE,today
DATE,just a few months ago
DATE,daily
DATE,"December 14, 2021"
DATE,2021
DATE,2021
DATE,Monday
DATE,Friday
DATE,"Monday, Nov. 29, 2021"
DATE,Tuesday
DATE,September
DATE,2021
DATE,2021
DATE,13-year
DATE,September
DATE,Nov. 22
DATE,this month
DATE,OCTOBER
DATE,"April 26, 2019"
DATE,Nov. 17
DATE,Oct. 1
DATE,December
DATE,November
DATE,2020
DATE,last month
DATE,"Monday, Nov. 29, 2021"
DATE,2021
DATE,2021
DATE,today
DATE,Sunday
DATE,Friday
DATE,last day
DATE,"February 3, 2021"
DATE,more than a decade
DATE,2009
DATE,2021
DATE,2021
DATE,Saturday
DATE,Saturday
DATE,Wednesday
DATE,Sunday
DATE,Sunday
DATE,weekly
DATE,"December 14, 2021"
DATE,earlier this week
DATE,Sunday
