entity_label,entity_text,Unnamed: 0
DATE,2021,
DATE,Sunday,
DATE,This Week,
DATE,Dec. 15,
DATE,Sunday,
DATE,season,
DATE,Christmas weekend,
DATE,Christmas Eve,
DATE,Friday,
DATE,Christmas,
DATE,Christmas,
DATE,Saturday,
DATE,the age of 81,
DATE,Sunday,
DATE,"Nov. 21, 1940",
DATE,1958,
DATE,August 1980 to July 1983,
DATE,1993,
DATE,2022,
DATE,next month,
DATE,2021,
DATE,2021,
DATE,Sunday,
DATE,thirty years,
DATE,Tuesday,
DATE,2021,
DATE,2021,
DATE,last week,
DATE,Friday,
DATE,"Nov. 20, 2015",
DATE,Nov. 28,
DATE,"Nov. 20, 2015",
DATE,Dec. 14,
DATE,early 2020,
DATE,about two months,
DATE,2021,
DATE,2021,
DATE,last week,
DATE,Friday,
DATE,"Nov. 20, 2015",
DATE,Nov. 28,
DATE,"Nov. 20, 2015",
DATE,Dec. 14,
DATE,early 2020,
DATE,about two months,
DATE,2021,
DATE,2021,
DATE,a single day,
DATE,the past month,
DATE,the past week,
DATE,the coming days,
DATE,Friday,
DATE,"Dec. 24, 2021",
DATE,Thursday,
DATE,the holidays,
DATE,recent months,
DATE,the Christmas holidays,
DATE,the past week,
DATE,Monday,
DATE,post-holiday,
DATE,"Sunday, Dec. 26, 2021",
DATE,Sunday,
DATE,Christmas,
DATE,Jan. 3,
DATE,Sunday,
DATE,Sunday,
DATE,Christmas,
DATE,2021,
DATE,2021,
DATE,a single day,
DATE,the past month,
DATE,the past week,
DATE,the coming days,
DATE,Friday,
DATE,"Dec. 24, 2021",
DATE,Thursday,
DATE,the holidays,
DATE,recent months,
DATE,the Christmas holidays,
DATE,the past week,
DATE,Monday,
DATE,post-holiday,
DATE,"Sunday, Dec. 26, 2021",
DATE,Sunday,
DATE,Christmas,
DATE,Jan. 3,
DATE,Sunday,
DATE,Sunday,
DATE,Christmas,
DATE,2021,
DATE,2021,
DATE,Jan. 3-17,
DATE,January 18,
DATE,Jan. 6-17,
DATE,Jan. 18,
DATE,Jan. 18,
DATE,Tuesday,
DATE,Jan. 17,
DATE,Jan. 18,
DATE,"Aug. 27, 2020",
DATE,Sept. 2,
DATE,their spring,
DATE,Wednesday,
DATE,the spring semester,
DATE,January,
DATE,Jan. 18,
DATE,"Aug. 27, 2020",
DATE,the spring,
DATE,Jan. 18,
DATE,Saturday,
DATE,the first three weeks,
DATE,January,
DATE,the first three weeks of January,
DATE,2021,
DATE,2021,
DATE,Jan. 3-17,
DATE,January 18,
DATE,Jan. 6-17,
DATE,Jan. 18,
DATE,Jan. 18,
DATE,Tuesday,
DATE,Jan. 17,
DATE,Jan. 18,
DATE,"Aug. 27, 2020",
DATE,Sept. 2,
DATE,their spring,
DATE,Wednesday,
DATE,the spring semester,
DATE,January,
DATE,Jan. 18,
DATE,"Aug. 27, 2020",
DATE,the spring,
DATE,Jan. 18,
DATE,Saturday,
DATE,the first three weeks,
DATE,January,
DATE,the first three weeks of January,
DATE,2021,
DATE,2021,
DATE,Jan. 3-17,
DATE,January 18,
DATE,Jan. 6-17,
DATE,Jan. 18,
DATE,Jan. 18,
DATE,Tuesday,
DATE,Jan. 17,
DATE,Jan. 18,
DATE,"Aug. 27, 2020",
DATE,Sept. 2,
DATE,their spring,
DATE,Wednesday,
DATE,the spring semester,
DATE,January,
DATE,Jan. 18,
DATE,"Aug. 27, 2020",
DATE,the spring,
DATE,Jan. 18,
DATE,Saturday,
DATE,the first three weeks,
DATE,January,
DATE,the first three weeks of January,
DATE,2021,
DATE,2021,
DATE,Jan. 3-17,
DATE,January 18,
DATE,Jan. 6-17,
DATE,Jan. 18,
