,entity_label,entity_text,Unnamed: 0,count,proportion
199812,ORG,Refinitiv Lipper,,5586,0.0029870273019268426
11001,ORG,White House,,1847,0.0009876547487753095
10566,ORG,CDC,,1146,0.0006128058159699537
55339,ORG,Republican,,850,0.0004545243835728278
18386,ORG,FDA,,544,0.0002908956054866098
31385,ORG,Pfizer,,508,0.00027164516100587827
55191,ORG,Democrats,,415,0.00022191484609732185
13901,ORG,Republicans,,406,0.00021710223497713895
55238,ORG,Democratic,,349,0.00018662236454931402
10995,ORG,Centers For Disease Control And Prevention,,320,0.00017111506205094696
11374,ORG,Senate,,268,0.00014330886446766808
14032,ORG,House,,262,0.00014010045705421283
55210,ORG,Democrat,,246,0.00013154470395166547
11687,ORG,Supreme Court,,236,0.00012619735826257337
11180,ORG,Congress,,231,0.00012352368541802732
28588,ORG,CBP,,228,0.0001219194817112997
22355,ORG,Moderna,,205,0.0001096205866263879
11373,ORG,GOP,,188,0.00010053009895493134
10529,ORG,Navy,,185,9.892589524820371e-05
11681,ORG,Air Force,,184,9.83911606792945e-05
24528,ORG,Osha,,177,9.464801869693004e-05
20468,ORG,Pentagon,,174,9.304381499020241e-05
23623,ORG,State,,162,8.66270001632919e-05
24728,ORG,Food And Drug Administration,,161,8.609226559438268e-05
12645,ORG,NIH,,160,8.555753102547348e-05
23885,ORG,Brown,,146,7.807124706074455e-05
12834,ORG,Homeland Security,,144,7.700177792292613e-05
142963,ORG,Abbott,,141,7.53975742161985e-05
86045,ORG,HHS,,123,6.577235197583274e-05
18696,ORG,GE,,121,6.470288283801431e-05
16151,ORG,Capitol Hill,,118,6.309867913128669e-05
12954,ORG,U.S. Centers For Disease Control And Prevention,,114,6.095974085564985e-05
24483,ORG,University Of Alabama,,111,5.935553714892222e-05
85875,ORG,Capitol,,111,5.935553714892222e-05
18135,ORG,Fdny,,108,5.7751333442194594e-05
24527,ORG,Occupational Safety And Health Administration,,102,5.454292602873935e-05
19983,ORG,Department Of Education,,99,5.293872232201172e-05
67540,ORG,Bethlehem,,98,5.240398775310251e-05
12390,ORG,Department Of Justice,,97,5.18692531841933e-05
19904,ORG,Nypd,,97,5.18692531841933e-05
12318,ORG,Medicare,,96,5.1334518615284086e-05
16134,ORG,State Department,,93,4.973031490855646e-05
11677,ORG,National Guard,,93,4.973031490855646e-05
11527,ORG,Johnson,,92,4.919558033964725e-05
11061,ORG,World Health Organization,,87,4.6521907495101205e-05
12842,ORG,FBI,,86,4.5987172926191994e-05
10518,ORG,National Institute Of Allergy And Infectious Diseases,,86,4.5987172926191994e-05
11676,ORG,Army,,85,4.545243835728278e-05
28591,ORG,Customs,,84,4.491770378837357e-05
122380,ORG,Pelosi,,84,4.491770378837357e-05
12320,ORG,Johnson & Johnson,,84,4.491770378837357e-05
84051,ORG,Border Patrol,,84,4.491770378837357e-05
15792,ORG,WHO,,82,4.384823465055516e-05
14899,ORG,Department Of Health,,76,4.06398272370999e-05
12319,ORG,Medicaid,,75,4.010509266819069e-05
10655,ORG,Harvard University,,75,4.010509266819069e-05
16149,ORG,Labor,,68,3.6361950685826225e-05
23981,ORG,Black,,64,3.422301241018939e-05
17319,ORG,Department Of Defense,,63,3.368827784128018e-05
126478,ORG,Bowser,,60,3.2084074134552555e-05
83912,ORG,Botswana,,60,3.2084074134552555e-05
21891,ORG,City Hall,,60,3.2084074134552555e-05
10849,ORG,NYC,,60,3.2084074134552555e-05
12138,ORG,ICU,,59,3.1549339565643343e-05
10522,ORG,Southwest Airlines,,57,3.0479870427824924e-05
22105,ORG,Brooklyn Nets,,56,2.9945135858915716e-05
11282,ORG,Lurie Children,,56,2.9945135858915716e-05
46846,ORG,D-Calif.,,56,2.9945135858915716e-05
13415,ORG,U.S. Air Force,,54,2.8875666721097297e-05
131473,ORG,General Electric Co.,,54,2.8875666721097297e-05
21265,ORG,PBA,,54,2.8875666721097297e-05
116280,ORG,U.S. Supreme Court,,54,2.8875666721097297e-05
134553,ORG,NEA,,54,2.8875666721097297e-05
140412,ORG,Aclu,,54,2.8875666721097297e-05
22110,ORG,Barclays Center,,54,2.8875666721097297e-05
122702,ORG,Barker,,54,2.8875666721097297e-05
27499,ORG,Miller,,54,2.8875666721097297e-05
66540,ORG,National Institutes Of Health,,54,2.8875666721097297e-05
15252,ORG,Assembly,,51,2.7271463014369674e-05
12321,ORG,Digital,,51,2.7271463014369674e-05
14102,ORG,Post,,51,2.7271463014369674e-05
125106,ORG,Navarro,,48,2.5667259307642043e-05
136259,ORG,RNC,,48,2.5667259307642043e-05
22351,ORG,Rand Paul,,48,2.5667259307642043e-05
18683,ORG,House Of Representatives,,48,2.5667259307642043e-05
26031,ORG,Burnham,,48,2.5667259307642043e-05
14276,ORG,Los Angeles Unified School District,,48,2.5667259307642043e-05
83594,ORG,Tucker Carlson,,47,2.5132524738732835e-05
83568,ORG,Operation Warp Speed,,47,2.5132524738732835e-05
16150,ORG,Pensions Committee,,47,2.5132524738732835e-05
16340,ORG,Mozambique,,46,2.4597790169823624e-05
12310,ORG,OHA,,46,2.4597790169823624e-05
24529,ORG,Department Of Labor,,45,2.4063055600914416e-05
85040,ORG,CCP,,45,2.4063055600914416e-05
124173,ORG,Khan,,45,2.4063055600914416e-05
137928,ORG,Mcauliffe,,45,2.4063055600914416e-05
22846,ORG,Mette,,45,2.4063055600914416e-05
127581,ORG,Zachreson,,45,2.4063055600914416e-05
10538,ORG,Democratic Party,,45,2.4063055600914416e-05
13724,ORG,Credit: Pima County Sheriff Department,,45,2.4063055600914416e-05
66912,ORG,Santas,,44,2.3528321032005205e-05
10642,ORG,George Washington University,,43,2.2993586463095997e-05
