,entity_label,entity_text
0,DATE,2021
0,DATE,Christmas
0,DATE,just days
0,DATE,winter
0,DATE,October 2021
0,DATE,nearly two years
0,DATE,one year
0,DATE,the holidays
0,DATE,Christmas
0,DATE,Christmas
0,DATE,Christmas
0,DATE,the holiday season
0,DATE,this week
0,DATE,Christmas
0,DATE,last month
0,DATE,Christmas
0,DATE,Christmas
0,DATE,the second straight year
0,DATE,earlier this month
0,DATE,between 18 and 45
0,DATE,2021
0,DATE,2021
0,DATE,today
0,DATE,Wednesday
0,DATE,January 15
0,DATE,Feb. 15
0,DATE,"Tuesday, June 16, 2020"
0,DATE,"Monday, Dec. 20, 2021"
0,DATE,recent months
0,DATE,2021
0,DATE,2003
0,DATE,recent months
0,DATE,August
0,DATE,2 years old
0,DATE,Saturday
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,November
0,DATE,winter
0,DATE,2021
0,DATE,2021
0,DATE,early 2020
0,DATE,Two years later
0,DATE,"Dec. 16, 2020"
0,DATE,week
0,DATE,April 2021
0,DATE,1960
0,DATE,NEW YEAR'S EVE PARTIES
0,DATE,2002
0,DATE,"Jan. 7, 2021"
0,DATE,a year
0,DATE,about a year
0,DATE,weekly
0,DATE,2021
0,DATE,2021
0,DATE,weekly
0,DATE,2021
0,DATE,2021
0,DATE,Tuesday
0,DATE,the year through October
0,DATE,more than three decades
0,DATE,fiscal year 2021
0,DATE,"Nov. 18, 2019"
0,DATE,"Dec. 10, 2021"
0,DATE,October
0,DATE,the next half year or so
0,DATE,August
0,DATE,June
0,DATE,the coming months
0,DATE,the end of next year
0,DATE,2023
0,DATE,the middle of next year
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,12 years of age
0,DATE,five days
0,DATE,"November 16, 2021"
0,DATE,Today
0,DATE,daily
0,DATE,five days
0,DATE,five consecutive days
0,DATE,five days
0,DATE,2021
0,DATE,2021
0,DATE,between Oct. 1 and Nov. 30 of this year
0,DATE,"Friday Dec. 3, 2021"
0,DATE,a week
0,DATE,between April and Nov. 2021
0,DATE,27.6 years old
0,DATE,weekly
0,DATE,2021
0,DATE,2021
0,DATE,recent days
0,DATE,"Nov. 26, 2021"
0,DATE,Thursday
0,DATE,Tuesday
0,DATE,weeks
0,DATE,November
0,DATE,mid-November
0,DATE,Nov. 25
0,DATE,mid-November
0,DATE,last week
0,DATE,Monday
0,DATE,a week
0,DATE,Dec. 12
0,DATE,Tuesday
0,DATE,Two weeks ago
0,DATE,early November
0,DATE,a month
0,DATE,a week ago
0,DATE,the holiday season
0,DATE,last year
0,DATE,27
0,DATE,2021
0,DATE,2021
0,DATE,between Oct. 1 and Nov. 30 of this year
0,DATE,recent days
0,DATE,A hectic week
0,DATE,Wednesday
0,DATE,2021
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,Fox News
1,ORG,Fox & Friends'
1,EVENT,CORONAVIRUS
1,ORG,Philadelphia Health
1,ORG,iStock
1,ORG,REPUBLICAN RUNNING FOR NY GOVERNOR
1,ORG,DEMS
1,ORG,The White House
1,ORG,NBC NEWS
1,ORG,The Milwaukee Health Department
1,ORG,the Milwaukee Health Department
1,ORG,AFP
1,ORG,APP
1,ORG,Families
1,ORG,Fox News'
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,CNN
1,ORG,CDC
1,ORG,CRITICS SLAM DC
1,ORG,MURIEL BOWSER FOR VIOLATING HER
1,ORG,Bowser
1,ORG,Media Affairs
1,ORG,House Republican Conference
1,ORG,AP Photo/Matt Rourke
1,ORG,Bowser
1,ORG,Tiana Lowe
1,ORG,APP
1,ORG,Fox News'
1,ORG,Fox News
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,White House’s
1,ORG,WHITE HOUSE
1,ORG,U.S. Court of Appeals
1,ORG,the Occupational Safety and Health Administration
1,ORG,APP
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,Army
1,ORG,Army
1,ORG,The Walter Reed Army Institute of Research
1,ORG,WRAIR
1,ORG,Army
1,ORG,Fox News
1,ORG,Madigan Army Medical Center
1,ORG,Army
1,ORG,AP Photo/Ted S. Warren
1,ORG,the Walter Reed Army Medical Center
1,ORG,WRAMC
1,ORG,Harvey Meston/Archive Photos/Getty Images
1,ORG,the Emerging Infectious Diseases Brance
1,ORG,WRAIR
1,ORG,Science Translational Medicine
1,ORG,MA - JANUARY 7
1,ORG,LPN
1,ORG,the North Bennet Street
1,ORG,Army
1,ORG,DefenseOne
1,EVENT,Omicron
1,ORG,WRAIR
1,ORG,Fox News
1,ORG,APP
1,ORG,Fox News'
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,Fox News
1,ORG,Fox News
1,ORG,CCC-SLP
1,ORG,the Communication Sciences and Disorders School of Health Professions
1,ORG,LIU Post
1,ORG,Fox News
1,ORG,iStock
1,ORG,LIU –Post
1,ORG,Fox News
1,ORG,Fox News
1,ORG,the Journal of Voice
1,ORG,Fox News
1,ORG,Crowley
1,ORG,Fox News
1,ORG,Fox News
1,ORG,iStock
1,ORG,Crowley
1,ORG,Fox News
1,ORG,Weill Cornell Medicine
1,ORG,New York Presbyterian Hospital-Cornell
1,ORG,Fox News
1,ORG,Kacker
1,ORG,ENT
1,ORG,Fox News
1,ORG,Fox News
1,ORG,LIU
1,ORG,Fox News
1,ORG,LIU-Post
1,ORG,APP
1,ORG,ENT
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,New Privacy Policy
1,ORG,Damian Mason
1,ORG,Mason
1,ORG,FOX Business
1,ORG,HOUSE
1,ORG,Mason
1,ORG,the Congressional Budget Office
1,ORG,the Maryland Correctional Institution
1,ORG,The Washington Post
1,ORG,Mason
1,ORG,House
1,ORG,Federal Reserve
1,ORG,D-W.Va.
1,ORG,Senate
1,ORG,Moody's Analytics
1,ORG,Moody's
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,New Privacy Policy
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,New Privacy Policy
1,ORG,Food and Drug Administration
1,ORG,FDA
1,ORG,Reuters
1,ORG,REUTERS
1,ORG,Reuters
1,ORG,the FDA’s Center for Drug Evaluation and Research
1,ORG,FDA
1,ORG,FDA
1,ORG,FDA
1,ORG,FDA
1,ORG,FDA
1,ORG,FDA
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,New Privacy Policy
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,Fox News
1,ORG,DATCOV
1,ORG,the Orange Farm
1,ORG,AP Photo/Jerome Delay
1,EVENT,VACCINES
1,ORG,APP
1,ORG,the University of Witwatersrand’s School of Pathology
1,ORG,the National Institute for Communicable Diseases
1,ORG,NICD
1,ORG,the National Health Laboratory Service
1,ORG,the University of KwaZulu-Natal’s School of Health Sciences
1,ORG,National Health Laboratory Service
1,ORG,NHLS
1,ORG,Lancet Laboratories
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,Fox News
1,ORG,the U.S. Army
1,ORG,AP Photo/Denis Farrell
1,ORG,the University of Witwatersrand
1,ORG,The Associated Press
1,ORG,the Pacific Northwest
1,ORG,AP
1,ORG,AMID OMICRON OUTBREAK
1,ORG,the World Health Organization
1,ORG,Steve Biko Academic Hospital
1,ORG,Chris Hani Baragwanath Hospital
1,ORG,Steve Biko Academic Hospital
1,ORG,APP
1,ORG,Uekermann
1,ORG,ICU
1,ORG,Uekermann
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
1,ORG,White House
1,ORG,White House
1,ORG,AstraZeneca
1,ORG,Fox News
1,ORG,NFL
1,ORG,NFLPA
1,ORG,FOX News Network
1,ORG,LLC
1,ORG,FactSet Digital Solutions
1,ORG,Mutual Fund
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,PERSON,Nicole Saphier
2,PERSON,Biden
2,PERSON,Muriel Bowser
2,PERSON,D.C. Mayor
2,PERSON,Muriel Bowser
2,PERSON,Bowser
2,PERSON,Tom Williams
2,PERSON,Getty Images
2,PERSON,Cheryl Bettigole
2,PERSON,AFFORD
2,PERSON,Biden
2,PERSON,Biden
2,PERSON,Getty Images
2,PERSON,Vivek Murthy
2,PERSON,Fentanyl
2,EVENT,COVID-19
2,EVENT,COVID-19
2,PERSON,Audrey Conklin
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,PERSON,John Griffin
2,PERSON,Biden
2,PERSON,Biden
2,PERSON,Muriel Bowser
2,EVENT,COVID-19
2,PERSON,Bowser
2,PERSON,Bowser
2,PERSON,Muriel Bowser
2,PERSON,Caroline Brehman
2,PERSON,Getty Images
2,EVENT,COVID-19
2,PERSON,Bowser
2,PERSON,Adams Morgan
2,PERSON,Muriel
2,PERSON,Tiana Lowe
2,PERSON,Washington Examiner
2,PERSON,Washington Examiner
2,PERSON,Bowser
2,PERSON,Dave Chapelle
2,PERSON,Lindsay Kornick
2,PERSON,Cortney O'Brien
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,PERSON,Biden
2,EVENT,COVID-19
2,PERSON,Biden
2,PERSON,Biden
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,EVENT,COVID-19
2,PERSON,Travis Snyder
2,PERSON,Kayvon Modjarrad
2,EVENT,COVID-19
2,EVENT,COVID-19
2,PERSON,Getty Images
2,PERSON,Modjarrad
2,PERSON,Marty Makary
2,PERSON,Makary
2,PERSON,Jennifer Griffin
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,PERSON,Nicole Saphier
2,ORG,Pfizer
2,PERSON,Catherine Crowley
2,PERSON,Nursing
2,PERSON,Crowley
2,EVENT,COVID-19
2,EVENT,COVID-19
2,EVENT,COVID-19
2,EVENT,COVID-19
2,PERSON,Crowley
2,PERSON,Ashutosh Kacker
2,PERSON,Kacker
2,EVENT,COVID-19
2,EVENT,COVID-19
2,PERSON,Crowley
2,PERSON,Crowley
2,PERSON,Refinitiv Lipper
2,PERSON,Refinitiv Lipper
2,PERSON,Regu
2,PERSON,Ricky Carioti
2,PERSON,Getty Images
2,PERSON,Getty Images
2,PERSON,FREDERIC J. BROWN
2,PERSON,Getty Images
2,PERSON,Getty Images
2,PERSON,Regu
2,PERSON,Tom O'Halleran
2,PERSON,Sean Casten
2,PERSON,Powell
2,PERSON,Jerome Powell
2,PERSON,Joe Manchin
2,PERSON,William Foster
2,PERSON,Refinitiv Lipper
2,PERSON,Refinitiv Lipper
2,EVENT,COVID-19
2,ORG,Pfizer
2,ORG,Pfizer
2,EVENT,COVID-19
2,EVENT,COVID-19
2,ORG,Pfizer
2,EVENT,COVID-19
2,PERSON,Patrizia Cavazzoni
2,EVENT,COVID-19
2,EVENT,COVID-19
2,EVENT,COVID-19
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,ORG,Pfizer
2,EVENT,COVID-19
2,EVENT,COVID-19
2,EVENT,COVID-19
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,PERSON,Marc Siegel
2,PERSON,Biden
2,PERSON,Jerome Delay
2,PERSON,Fareed Abdullah
2,PERSON,Abdullah
2,EVENT,COVID-19
2,PERSON,Veronica Uekermann
2,PERSON,Refinitiv Lipper
2,PERSON,Quotes
2,PERSON,Refinitiv Lipper
2,EVENT,COVID-19 -  
2,PERSON,Jen Psaki
2,PERSON,Biden
2,PERSON,Pedro Sánchez
2,PERSON,Griff Jenkins
2,PERSON,JC Tretter
2,PERSON,Refinitiv Lipper
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,night
3,TIME,hours
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
3,TIME,at least 15 minutes
4,EVENT,COVID-19
4,EVENT,COVID-19
4,EVENT,COVID-19
4,EVENT,COVID-19
4,EVENT,COVID-19
4,EVENT,COVID-19
4,EVENT,COVID-19
4,PRODUCT,S Gene Target Failure
4,PRODUCT,Tambo
4,EVENT,COVID-19
4,EVENT,COVID-19
4,EVENT,COVID-19
5,NORP,Americans
5,NORP,Americans
5,NORP,Americans
5,NORP,Americans
5,NORP,Americans
5,NORP,Americans
5,NORP,Americans
5,NORP,American
5,NORP,Americans
5,NORP,Italian
5,NORP,DEMOCRATS
5,NORP,Democrats
5,NORP,Republican
5,NORP,Democrats
5,NORP,South African
5,NORP,South Africans
5,NORP,Western
5,NORP,South Africans
5,NORP,Spanish
6,GPE,Los Angeles County
6,GPE,Louisiana
6,GPE,Washington
6,GPE,D.C.
6,GPE,D.C.
6,GPE,DR
6,GPE,MAKARY
6,GPE,Chicago
6,GPE,Delaware County
6,GPE,Pennsylvania
6,GPE,California
6,GPE,U.S.
6,GPE,Illinois
6,GPE,Santa Cruz County
6,GPE,California
6,GPE,Wisconsin
6,GPE,Wisconsin
6,GPE,U.S.
6,GPE,Washington
6,GPE,D.C.
6,GPE,New York City
6,GPE,Chicago
6,GPE,Boston
6,GPE,D.C.
6,GPE,Washington
6,GPE,Philadelphia
6,GPE,U.S.
6,GPE,DC
6,GPE,Texas
6,GPE,Florida
6,GPE,Washington
6,GPE,D.C.
6,GPE,@obrienc2
6,GPE,Cincinnati
6,GPE,U.S.
6,GPE,Washington
6,GPE,Seattle
6,GPE,"Washington,"
6,GPE,DC
6,GPE,USA
6,GPE,Boston
6,GPE,CHINA
6,GPE,PhD.
6,GPE,Brookville
6,GPE,N.Y.
6,GPE,New York City
6,GPE,U.S.
6,GPE,Hagerstown
6,GPE,Maryland
6,GPE,Los Angeles
6,GPE,D-Ariz.
6,GPE,D-Ill.
6,GPE,Freiburg
6,GPE,Germany
6,GPE,M.D.
6,GPE,SOUTH AFRICA
6,GPE,South Africa
6,GPE,South Africa
6,GPE,South Africa’s
6,GPE,South Africa's
6,GPE,South Africa
6,GPE,Johannesburg
6,GPE,South Africa
6,GPE,Gauteng province
6,GPE,South Africa’s
6,GPE,Johannesburg
6,GPE,Pretoria
6,GPE,Gauteng province
6,GPE,Gauteng
6,GPE,South Africa
6,GPE,Gauteng
6,GPE,U.S.
6,GPE,New York
6,GPE,Johannesburg
6,GPE,South Africa
6,GPE,U.K.
6,GPE,South Africa
6,GPE,Gauteng
6,GPE,Pretoria
6,GPE,South Africa’s
6,GPE,Soweto
6,GPE,South Africa's
6,GPE,South Africa
6,GPE,South Africa
6,GPE,New York
6,GPE,South Africa
6,GPE,U.S.
6,GPE,South Africa's
6,GPE,South Africa's
6,GPE,Nigeria
7,WORK_OF_ART,Limit
7,WORK_OF_ART,'The Story
7,WORK_OF_ART,'The Story
7,WORK_OF_ART,'The Story
8,CARDINAL,Millions
8,CARDINAL,at least one
8,CARDINAL,two
8,CARDINAL,Two hundred
8,CARDINAL,hundreds
8,CARDINAL,at least 100
8,CARDINAL,thousands
8,CARDINAL,three
8,CARDINAL,1
8,CARDINAL,24
8,CARDINAL,1
8,CARDINAL,at least one
8,CARDINAL,1
8,CARDINAL,1
8,CARDINAL,13 MILLION
8,CARDINAL,One
8,CARDINAL,160
8,CARDINAL,three
8,CARDINAL,two
8,CARDINAL,one
8,CARDINAL,30
8,CARDINAL,"nearly 27,000"
8,CARDINAL,"about 15,424"
8,CARDINAL,16 million
8,CARDINAL,at least 89
8,CARDINAL,"16,000"
8,CARDINAL,"just over 3,300"
8,CARDINAL,more than 20
8,CARDINAL,about five or six
8,CARDINAL,two
8,CARDINAL,billions
8,CARDINAL,more than 1 million
8,CARDINAL,three
9,ORDINAL,first
9,ORDINAL,first
9,ORDINAL,6th
9,ORDINAL,first
9,ORDINAL,first
9,ORDINAL,first
9,ORDINAL,first
9,ORDINAL,first
10,FAC,Capitol
10,FAC,Shannon Bream
11,LOC,Twitter 
11,LOC,Southeast
11,LOC,Midwest
11,LOC,Europe
11,LOC,North America
12,PERCENT,98%
12,PERCENT,nearly 44 percent
12,PERCENT,nearly 27 percent
12,PERCENT,5%
12,PERCENT,a mere 5.4%
